split	image_name	label_file	line_no	class_id	class_name	x_center	y_center	width	height	issue_type	action	reviewer	note	class_label	duplicate	dataset_action	x_center_clean	y_center_clean	width_clean	height_clean
test	Anthracnose (251)	Anthracnose (251).txt	3	1	Anthracnose	0.214887	0.663464	0.137567	0.159338	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.2175	0.6655	0.117	0.139
test	Anthracnose (251)	Anthracnose (251).txt	4	1	Anthracnose	0.464773	0.568124	0.135827	0.148887	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.4655	0.568	0.117	0.138
test	Anthracnose (251)	Anthracnose (251).txt	5	1	Anthracnose	0.805212	0.470171	0.175877	0.182842	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.808	0.4715	0.146	0.161
test	Anthracnose (251)	Anthracnose (251).txt	6	1	Anthracnose	0.839168	0.722235	0.06269	0.080975	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.839	0.724	0.044	0.066
test	Anthracnose (251)	Anthracnose (251).txt	7	1	Anthracnose	0.924497	0.414665	0.059207	0.05877	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.9235	0.4145	0.039	0.047
test	Anthracnose (251)	Anthracnose (251).txt	8	1	Anthracnose	0.379947	0.592278	0.03226	0.039885	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.3795	0.5925	0.021	0.027
test	Anthracnose (271)	Anthracnose (271).txt	1	1	Anthracnose	0.461327	0.71909	0.310487	0.32635	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.4625	0.7185	0.281	0.303
test	Anthracnose (271)	Anthracnose (271).txt	2	1	Anthracnose	0.429598	0.413135	0.305957	0.33315	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.43	0.417	0.276	0.304
test	Anthracnose (274)	Anthracnose (274).txt	1	1	Anthracnose	0.342345	0.477725	0.262897	0.27196	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.3415	0.478	0.231	0.246
test	Anthracnose (274)	Anthracnose (274).txt	2	1	Anthracnose	0.491923	0.617956	0.217567	0.215868	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.489	0.615	0.188	0.186
test	Anthracnose (277)	Anthracnose (277).txt	1	1	Anthracnose	0.533863	0.580005	0.449847	0.34896	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.493	0.579	0.33	0.349
test	Anthracnose (281)	Anthracnose (281).txt	1	1	Anthracnose	0.520643	0.494393	0.335233	0.362195	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.524	0.495	0.304	0.335
test	Anthracnose (32)	Anthracnose (32).txt	1	1	Anthracnose	0.892473	0.570075	0.215055	0.487059	none	keep	¿±ø¯≈√		Disease	0	include	0.892473	0.570075	0.215055	0.487059
test	Anthracnose (32)	Anthracnose (32).txt	2	1	Anthracnose	0.536496	0.552549	0.555937	0.588531	none	keep	¿±ø¯≈√		Disease	0	include	0.536496	0.552549	0.555937	0.588531
test	Anthracnose (32)	Anthracnose (32).txt	3	1	Anthracnose	0.754718	0.869903	0.490564	0.260193	none	keep	¿±ø¯≈√		Disease	0	include	0.754718	0.869903	0.490564	0.260193
test	Anthracnose (34)	Anthracnose (34).txt	1	1	Anthracnose	0.503286	0.614352	0.435402	0.512888	none	keep	¿±ø¯≈√		Disease	0	include	0.503286	0.614352	0.435402	0.512888
test	Anthracnose (36)	Anthracnose (36).txt	1	1	Anthracnose	0.445479	0.725048	0.516577	0.398503	none	keep	¿±ø¯≈√		Disease	0	include	0.445479	0.725048	0.516577	0.398503
test	Anthracnose (41)	Anthracnose (41).txt	1	1	Anthracnose	0.328633	0.636492	0.514117	0.72321	none	keep	¿±ø¯≈√		Disease	0	include	0.328633	0.636492	0.514117	0.72321
test	Anthracnose (5)	Anthracnose (5).txt	1	1	Anthracnose	0.515586	0.525796	0.499361	0.442782	none	keep	¿±ø¯≈√		Disease	0	include	0.515586	0.525796	0.499361	0.442782
test	Anthracnose (52)	Anthracnose (52).txt	1	1	Anthracnose	0.441788	0.739807	0.356684	0.442782	none	keep	¿±ø¯≈√		Disease	0	include	0.441788	0.739807	0.356684	0.442782
test	Anthracnose (52)	Anthracnose (52).txt	2	1	Anthracnose	0.623822	0.563618	0.282888	0.304414	none	keep	¿±ø¯≈√		Disease	0	include	0.623822	0.563618	0.282888	0.304414
test	Anthracnose (59)	Anthracnose (59).txt	1	1	Anthracnose	0.386574	0.593533	0.457176	0.544705	none	keep	¿±ø¯≈√		Disease	0	include	0.386574	0.593533	0.457176	0.544705
test	Anthracnose (59)	Anthracnose (59).txt	2	1	Anthracnose	0.157118	0.424262	0.314236	0.423177	none	keep	¿±ø¯≈√		Disease	0	include	0.157118	0.424262	0.314236	0.423177
test	Anthracnose (59)	Anthracnose (59).txt	3	1	Anthracnose	0.541377	0.38737	0.407986	0.392795	none	keep	¿±ø¯≈√		Disease	0	include	0.541377	0.38737	0.407986	0.392795
test	Anthracnose (81)	Anthracnose (81).txt	1	1	Anthracnose	0.403935	0.600043	0.596065	0.653212	none	keep	¿±ø¯≈√		Disease	0	include	0.403935	0.600043	0.596065	0.653212
test	Anthracnose (85)	Anthracnose (85).txt	1	1	Anthracnose	0.464699	0.623698	0.671296	0.752604	none	keep	¿±ø¯≈√		Disease	0	include	0.464699	0.623698	0.671296	0.752604
test	Anthracnose (85)	Anthracnose (85).txt	2	1	Anthracnose	0.603588	0.222439	0.486111	0.444878	none	keep	¿±ø¯≈√		Disease	0	include	0.603588	0.222439	0.486111	0.444878
test	Anthracnose (93)	Anthracnose (93).txt	1	1	Anthracnose	0.347512	0.687717	0.570023	0.624566	none	keep	¿±ø¯≈√		Disease	0	include	0.347512	0.687717	0.570023	0.624566
test	Anthracnose (93)	Anthracnose (93).txt	2	1	Anthracnose	0.79022	0.581597	0.41956	0.659722	none	keep	¿±ø¯≈√		Disease	0	include	0.79022	0.581597	0.41956	0.659722
test	Healthy (10)	Healthy (10).txt	1	2	Healthy	0.490741	0.537109	0.729167	0.700955	none	keep	¿±ø¯≈√		Healthy	0	include	0.490741	0.537109	0.729167	0.700955
test	Healthy (101)	Healthy (101).txt	1	2	Healthy	0.408275	0.62066	0.535301	0.594618	none	keep	¿±ø¯≈√		Healthy	0	include	0.408275	0.62066	0.535301	0.594618
test	Healthy (105)	Healthy (105).txt	1	2	Healthy	0.416956	0.634766	0.436921	0.509983	none	keep	¿±ø¯≈√		Healthy	0	include	0.416956	0.634766	0.436921	0.509983
test	Healthy (115)	Healthy (115).txt	1	2	Healthy	0.412616	0.671658	0.451389	0.514323	none	keep	¿±ø¯≈√		Healthy	0	include	0.412616	0.671658	0.451389	0.514323
test	Healthy (115)	Healthy (115).txt	2	2	Healthy	0.239005	0.477431	0.358796	0.368924	none	keep	¿±ø¯≈√		Healthy	0	include	0.239005	0.477431	0.358796	0.368924
test	Healthy (115)	Healthy (115).txt	3	2	Healthy	0.081887	0.590278	0.163773	0.373264	none	keep	¿±ø¯≈√		Healthy	0	include	0.081887	0.590278	0.163773	0.373264
test	Healthy (120)	Healthy (120).txt	1	2	Healthy	0.506655	0.659722	0.407986	0.447049	none	keep	¿±ø¯≈√		Healthy	0	include	0.506655	0.659722	0.407986	0.447049
test	Healthy (141)	Healthy (141).txt	1	2	Healthy	0.460359	0.514323	0.801505	0.646701	none	keep	¿±ø¯≈√		Healthy	0	include	0.460359	0.514323	0.801505	0.646701
test	Healthy (149)	Healthy (149).txt	1	2	Healthy	0.47772	0.54579	0.57581	0.457899	none	keep	¿±ø¯≈√		Healthy	0	include	0.47772	0.54579	0.57581	0.457899
test	Healthy (189)	Healthy (189).txt	1	1	Anthracnose	0.463252	0.596788	0.523727	0.529514	class_wrong	fix	¿±ø¯≈√	ºˆ¡§ øœ∑·	Disease	0	include	0.463252	0.596788	0.523727	0.529514
test	Healthy (189)	Healthy (189).txt	2	2	Healthy	0.803241	0.365668	0.21412	0.180122	ambiguous	hold	¿±ø¯≈√		Healthy	0	include	0.803241	0.365668	0.21412	0.180122
test	Healthy (190)	Healthy (190).txt	1	2	Healthy	0.524016	0.578342	0.535301	0.544705	none	keep	¿±ø¯≈√		Healthy	0	include	0.524016	0.578342	0.535301	0.544705
test	Healthy (206)	Healthy (206).txt	1	2	Healthy	0.518229	0.611979	0.714699	0.711806	none	keep	¿±ø¯≈√		Healthy	0	include	0.518229	0.611979	0.714699	0.711806
test	Healthy (206)	Healthy (206).txt	2	2	Healthy	0.675926	0.180122	0.648148	0.360243	none	keep	¿±ø¯≈√		Healthy	0	include	0.675926	0.180122	0.648148	0.360243
test	Healthy (229)	Healthy (229).txt	1	2	Healthy	0.83941	0.534939	0.321181	0.496962	none	keep	¿±ø¯≈√		Healthy	0	include	0.83941	0.534939	0.321181	0.496962
test	Healthy (229)	Healthy (229).txt	2	2	Healthy	0.483507	0.595703	0.708912	0.731337	none	keep	¿±ø¯≈√		Healthy	0	include	0.483507	0.595703	0.708912	0.731337
test	Healthy (235)	Healthy (235).txt	1	2	Healthy	0.476273	0.694227	0.653935	0.611545	none	keep	¿±ø¯≈√		Healthy	0	include	0.476273	0.694227	0.653935	0.611545
test	Healthy (235)	Healthy (235).txt	2	2	Healthy	0.729456	0.415582	0.442708	0.483941	none	keep	¿±ø¯≈√		Healthy	0	include	0.729456	0.415582	0.442708	0.483941
test	Healthy (242)	Healthy (242).txt	1	2	Healthy	0.524016	0.584852	0.749421	0.674913	none	keep	¿±ø¯≈√		Healthy	0	include	0.524016	0.584852	0.749421	0.674913
test	Healthy (263)	Healthy (263).txt	1	2	Healthy	0.537037	0.606554	0.734954	0.670573	none	keep	¿±ø¯≈√		Healthy	0	include	0.537037	0.606554	0.734954	0.670573
test	Healthy (270)	Healthy (270).txt	1	2	Healthy	0.333044	0.900391	0.379051	0.199219	none	keep	¿±ø¯≈√		Healthy	0	include	0.333044	0.900391	0.379051	0.199219
test	Healthy (270)	Healthy (270).txt	2	2	Healthy	0.953704	0.564236	0.092593	0.264757	ambiguous	hold	¿±ø¯≈√		Healthy	0	include	0.953704	0.564236	0.092593	0.264757
test	Healthy (270)	Healthy (270).txt	3	2	Healthy	0.441551	0.577257	0.619213	0.694444	none	keep	¿±ø¯≈√		Healthy	0	include	0.441551	0.577257	0.619213	0.694444
test	Healthy (275)	Healthy (275).txt	1	2	Healthy	0.496528	0.555556	0.769676	0.655382	none	keep	¿±ø¯≈√		Healthy	0	include	0.496528	0.555556	0.769676	0.655382
test	Healthy (276)	Healthy (276).txt	1	2	Healthy	0.509549	0.579427	0.662616	0.655382	none	keep	¿±ø¯≈√		Healthy	0	include	0.509549	0.579427	0.662616	0.655382
test	Healthy (281)	Healthy (281).txt	1	2	Healthy	0.467593	0.54362	0.642361	0.766059	none	keep	¿±ø¯≈√		Healthy	0	include	0.467593	0.54362	0.642361	0.766059
test	Healthy (291)	Healthy (291).txt	1	2	Healthy	0.495081	0.518663	0.766782	0.733507	none	keep	¿±ø¯≈√		Healthy	0	include	0.495081	0.518663	0.766782	0.733507
test	Healthy (306)	Healthy (306).txt	1	2	Healthy	0.793113	0.81033	0.413773	0.37934	none	keep	¿±ø¯≈√		Healthy	0	include	0.793113	0.81033	0.413773	0.37934
test	Healthy (306)	Healthy (306).txt	2	2	Healthy	0.47772	0.530599	0.807292	0.687934	none	keep	¿±ø¯≈√		Healthy	0	include	0.47772	0.530599	0.807292	0.687934
test	Healthy (308)	Healthy (308).txt	1	2	Healthy	0.460359	0.576172	0.847801	0.796441	none	keep	¿±ø¯≈√		Healthy	0	include	0.460359	0.576172	0.847801	0.796441
test	Healthy (309)	Healthy (309).txt	1	2	Healthy	0.466146	0.568576	0.853588	0.815972	none	keep	¿±ø¯≈√		Healthy	0	include	0.466146	0.568576	0.853588	0.815972
test	Healthy (311)	Healthy (311).txt	1	2	Healthy	0.474826	0.619358	0.824653	0.761285	none	keep	¿±ø¯≈√		Healthy	0	include	0.474826	0.619358	0.824653	0.761285
test	Healthy (318)	Healthy (318).txt	1	2	Healthy	0.463252	0.613064	0.651042	0.670573	none	keep	¿±ø¯≈√		Healthy	0	include	0.463252	0.613064	0.651042	0.670573
test	Healthy (338)	Healthy (338).txt	1	3	Scab	0.848358	0.6991	0.303283	0.499709	class_wrong	fix	¿±ø¯≈√	ºˆ¡§ øœ∑·	Disease	0	include	0.848358	0.6991	0.303283	0.499709
test	Healthy (338)	Healthy (338).txt	2	2	Healthy	0.513825	0.557425	0.740207	0.699655	none	keep	¿±ø¯≈√		Healthy	0	include	0.513825	0.557425	0.740207	0.699655
test	Healthy (344)	Healthy (344).txt	1	2	Healthy	0.432143	0.621125	0.783626	0.729824	none	keep	¿±ø¯≈√		Healthy	0	include	0.432143	0.621125	0.783626	0.729824
test	Healthy (348)	Healthy (348).txt	1	2	Healthy	0.464891	0.612352	0.699413	0.673685	none	keep	¿±ø¯≈√		Healthy	0	include	0.464891	0.612352	0.699413	0.673685
test	Healthy (382)	Healthy (382).txt	1	2	Healthy	0.493924	0.560764	0.758102	0.746528	none	keep	¿±ø¯≈√		Healthy	0	include	0.493924	0.560764	0.758102	0.746528
test	Healthy (387)	Healthy (387).txt	1	2	Healthy	0.832465	0.65191	0.300926	0.342882	ambiguous	hold	¿±ø¯≈√		Healthy	0	include	0.832465	0.65191	0.300926	0.342882
test	Healthy (387)	Healthy (387).txt	2	1	Anthracnose	0.524306	0.550998	0.760995	0.757378	class_wrong	fix	¿±ø¯≈√	ºˆ¡§ øœ∑·	Disease	0	include	0.524306	0.550998	0.760995	0.757378
test	Healthy (387)	Healthy (387).txt	3	2	Healthy	0.181858	0.085069	0.363715	0.170139	ambiguous	hold	¿±ø¯≈√		Healthy	0	include	0.181858	0.085069	0.363715	0.170139
test	Healthy (388)	Healthy (388).txt	1	2	Healthy	0.54456	0.603082	0.703125	0.479601	none	keep	¿±ø¯≈√		Healthy	0	include	0.54456	0.603082	0.703125	0.479601
test	Healthy (399)	Healthy (399).txt	1	2	Healthy	0.2364	0.905165	0.462963	0.18967	ambiguous	hold	¿±ø¯≈√		Healthy	0	include	0.2364	0.905165	0.462963	0.18967
test	Healthy (399)	Healthy (399).txt	2	2	Healthy	0.522859	0.507595	0.804398	0.666233	none	keep	¿±ø¯≈√		Healthy	0	include	0.522859	0.507595	0.804398	0.666233
test	Healthy (436)	Healthy (436).txt	1	2	Healthy	0.518051	0.563431	0.675286	0.61207	none	keep	¿±ø¯≈√		Healthy	0	include	0.518051	0.563431	0.675286	0.61207
test	Healthy (50)	Healthy (50).txt	1	2	Healthy	0.44262	0.645866	0.469829	0.53125	none	keep	¿±ø¯≈√		Healthy	0	include	0.44262	0.645866	0.469829	0.53125
test	Healthy (50)	Healthy (50).txt	2	2	Healthy	0.176411	0.392632	0.352821	0.695043	none	keep	¿±ø¯≈√		Healthy	0	include	0.176411	0.392632	0.352821	0.695043
test	Healthy (60)	Healthy (60).txt	1	2	Healthy	0.121095	0.71537	0.24219	0.560345	none	keep	¿±ø¯≈√		Healthy	0	include	0.121095	0.71537	0.24219	0.560345
test	Healthy (60)	Healthy (60).txt	2	2	Healthy	0.360004	0.89594	0.33046	0.208121	ambiguous	hold	¿±ø¯≈√		Healthy	0	include	0.360004	0.89594	0.33046	0.208121
test	Healthy (60)	Healthy (60).txt	3	2	Healthy	0.525234	0.620543	0.629311	0.61638	none	keep	¿±ø¯≈√		Healthy	0	include	0.525234	0.620543	0.629311	0.61638
test	Healthy (61)	Healthy (61).txt	1	2	Healthy	0.439029	0.652331	0.637931	0.52694	none	keep	¿±ø¯≈√		Healthy	0	include	0.439029	0.652331	0.637931	0.52694
test	Healthy (61)	Healthy (61).txt	2	2	Healthy	0.494345	0.211672	0.530171	0.423344	none	keep	¿±ø¯≈√		Healthy	0	include	0.494345	0.211672	0.530171	0.423344
test	Healthy (67)	Healthy (67).txt	1	2	Healthy	0.726385	0.240154	0.163793	0.148707	ambiguous	hold	¿±ø¯≈√		Healthy	0	include	0.726385	0.240154	0.163793	0.148707
test	Healthy (67)	Healthy (67).txt	2	2	Healthy	0.950117	0.682504	0.099766	0.16056	ambiguous	hold	¿±ø¯≈√		Healthy	0	include	0.950117	0.682504	0.099766	0.16056
